Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
LEAF,1N4BZ1DVXM,King,Seattle,53033012000,WA,POINT (-122.36322 47.49736)
XC90,YV4BR00LXM,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
MUSTANG MACH-E,3FMTK1R47R,King,Seattle,53033007700,WA,POINT (-122.31009 47.60803)
BOLT EV,1G1FX6S02P,King,Federal Way,53033030314,WA,POINT (-122.3303 47.30151)
R1S,7PDSGCBA6T,King,Seattle,53033006900,WA,POINT (-122.36381 47.63046)
TAYCAN,WP0BA2Y15R,King,Bellevue,53033025007,WA,POINT (-122.12096 47.55584)
MODEL Y,7SAYGDEE4P,King,Auburn,53033029902,WA,POINT (-122.28802 47.30264)
XC40,YV4ED3UR8N,Clark,Brush Prairie,53011040603,WA,POINT (-122.54578 45.73473)
ARIYA HATCHBACK,JN1BF0AA9P,Snohomish,Lake Stevens,53061052604,WA,POINT (-122.06402 48.01497)
Q6,WA134BGF7S,King,Seattle,53033006400,WA,POINT (-122.30207 47.64085)
PRIUS PRIME (PHEV),JTDACACU5R,King,Bellevue,53033023901,WA,POINT (-122.1872 47.61001)
SORENTO,KNDRJDLH9N,Thurston,Olympia,53067011810,WA,POINT (-123.04078 46.94792)
MODEL 3,5YJ3E1EB7N,King,Seattle,53033008401,WA,POINT (-122.32945 47.60357)
LYRIQ,1GYKPTRL0R,Clark,Vancouver,53011041337,WA,POINT (-122.48723 45.63701)
R1S,7PDSGABA3R,King,Seattle,53033006400,WA,POINT (-122.30207 47.64085)
CX-90,JM3KKBHA9R,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
LEAF,1N4CZ1CV5S,Snohomish,Bothell,53061051933,WA,POINT (-122.20105 47.84423)
VOLT,1G1RB6S54J,King,Seattle,53033001202,WA,POINT (-122.30253 47.72656)
IONIQ 5,KM8KNDAF4P,King,Bellevue,53033023902,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EB8J,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
MODEL 3,5YJ3E1EA7P,Clark,Vancouver,53011041323,WA,POINT (-122.49212 45.60365)
MODEL X,5YJXCBE2XL,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
EX30,YV4EK3ZL1S,King,Seattle,53033006400,WA,POINT (-122.30207 47.64085)
MODEL Y,7SAYGDEF4P,King,Kirkland,53033022604,WA,POINT (-122.2066 47.67887)
FUSION,3FA6P0PU7J,King,Bellevue,53033023000,WA,POINT (-122.11867 47.63131)
CYBERTRUCK,7G2CEHED7T,King,Kirkland,53033022006,WA,POINT (-122.2066 47.67887)
MODEL Y,7SAYGDEE8P,King,Seatac,53033028300,WA,POINT (-122.27979 47.44952)
XC40,YV4ED3UW4P,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
EQUINOX,3GN7DMRPXS,King,Duvall,53033032402,WA,POINT (-121.98609 47.74068)
PRIUS PRIME (PHEV),JTDKARFP2L,Clark,Vancouver,53011041323,WA,POINT (-122.49212 45.60365)
LEAF,JN1AZ0CPXB,Thurston,Olympia,53067011810,WA,POINT (-123.04078 46.94792)
F-150,1FT6W1B77R,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
EV6,KNDC34LA9R,Cowlitz,Kalama,53015001602,WA,POINT (-122.84226 46.00813)
MODEL Y,7SAYGAEE1R,King,Bellevue,53033023601,WA,POINT (-122.1621 47.64441)
NX,JTJHKCFZ3R,King,Bellevue,53033023806,WA,POINT (-122.1872 47.61001)
BOLT EUV,1G1FZ6S0XN,King,Seattle,53033008300,WA,POINT (-122.34223 47.61085)
MODEL 3,5YJ3E1EB9J,Thurston,Tumwater,53067010920,WA,POINT (-123.04078 46.94792)
MODEL 3,5YJ3E1ET5S,King,Kirkland,53033022204,WA,POINT (-122.22901 47.72201)
MODEL S,5YJSA1H23F,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
MODEL X,5YJXCBE2XJ,King,Bellevue,53033023901,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EA5P,Clark,Camas,53011040610,WA,POINT (-122.40177 45.58705)
VOLT,1G1RB6E46F,King,Seattle,53033006900,WA,POINT (-122.36381 47.63046)
MODEL Y,7SAYGDEE7P,Clark,Vancouver,53011041325,WA,POINT (-122.49212 45.60365)
MUSTANG MACH-E,3FMTK1SU0R,King,Redmond,53033032326,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE1R,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
LEAF,1N4CZ1CV6R,King,Bellevue,53033022805,WA,POINT (-122.1621 47.64441)
XC90,YV4H600N3P,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
NIRO,KNDCR3L19R,King,Seattle,53033006200,WA,POINT (-122.30207 47.64085)
MODEL X,5YJXCDE24H,King,Federal Way,53033030102,WA,POINT (-122.3303 47.30151)
MODEL 3,5YJ3E1EB1N,Clark,Vancouver,53011041323,WA,POINT (-122.49212 45.60365)
TAYCAN,WP0CD2Y18R,King,Bellevue,53033023902,WA,POINT (-122.1872 47.61001)
MODEL S,5YJSA1H19F,Clark,Vancouver,53011040803,WA,POINT (-122.62731 45.71668)
MODEL Y,7SAYGDEE9T,Snohomish,Snohomish,53061041610,WA,POINT (-122.1389 47.87115)
MODEL Y,7SAYGDEE1T,King,Bellevue,53033023807,WA,POINT (-122.1872 47.61001)
MODEL Y,5YJYGDEE0M,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
X5,5UXTA6C01M,King,Seattle,53033008900,WA,POINT (-122.30866 47.57874)
ARIYA HATCHBACK,JN1DF0CD1P,Thurston,Rochester,53067012720,WA,POINT (-123.08743 46.82175)
MODEL Y,7SAYGDEE1P,King,Bothell,53033022001,WA,POINT (-122.20563 47.76144)
SPARK,KL8CL6S04G,King,Lake Forest Park,53033021300,WA,POINT (-122.30304 47.75494)
IONIQ 5,KM8KR4DE8R,Clark,Vancouver,53011041206,WA,POINT (-122.59219 45.62158)
MODEL Y,7SAYGDEE6T,King,Bellevue,53033023902,WA,POINT (-122.1872 47.61001)
X5,5UX43EU0XT,King,Bothell,53033022102,WA,POINT (-122.20563 47.76144)
ID.4,1V2DNPE82P,Clark,Camas,53011041400,WA,POINT (-122.40177 45.58705)
X5,5UX43EU04R,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
MODEL 3,5YJ3E1EB3P,King,Bellevue,53033023201,WA,POINT (-122.12056 47.61334)
MODEL Y,7SAYGDEE9T,Clark,Vancouver,53011040714,WA,POINT (-122.55149 45.69345)
MODEL Y,7SAYGAEE9P,King,Bellevue,53033024904,WA,POINT (-122.12096 47.55584)
MUSTANG MACH-E,3FMTK3SU7R,King,Bellevue,53033023601,WA,POINT (-122.1621 47.64441)
X5,5UX43EU00S,Yakima,Selah,53077003400,WA,POINT (-120.53145 46.65405)
EV6,KNDC4DLCXR,King,Seattle,53033006200,WA,POINT (-122.30207 47.64085)
PROLOGUE,3GPKHZRJ2R,King,Seattle,53033007002,WA,POINT (-122.34845 47.63283)
PACIFICA,2C4RC1L7XK,Kitsap,Silverdale,53035090400,WA,POINT (-122.69275 47.65171)
MODEL 3,5YJ3E1EA2T,King,Bellevue,53033023806,WA,POINT (-122.1872 47.61001)
MODEL Y,7SAYGDEE7N,King,Burien,53033027600,WA,POINT (-122.34731 47.45207)
NIRO,KNDCT3L17S,Kitsap,Suquamish,53035940100,WA,POINT (-122.55242 47.73162)
MODEL Y,7SAYGAEE0N,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
E-TRON GT,WAUFJBFW7P,King,Renton,53033025805,WA,POINT (-122.19488 47.44034)
LEAF,1N4AZ1CPXK,Jefferson,Port Townsend,53031950604,WA,POINT (-122.77263 48.1212)
MODEL Y,5YJYGDEE7L,King,Seattle,53033001201,WA,POINT (-122.30253 47.72656)
MODEL Y,7SAYGDEE2T,Thurston,Yelm,53067012532,WA,POINT (-122.60735 46.94239)
HARDTOP,WMW13DJ03P,King,Bellevue,53033022805,WA,POINT (-122.1621 47.64441)
MODEL X,5YJXCAE21H,King,Kirkland,53033022501,WA,POINT (-122.2066 47.67887)
RAV4 PRIME (PHEV),JTMAB3FV4R,King,Seattle,53033001202,WA,POINT (-122.30253 47.72656)
AIR,50EA1GBA5N,King,Bellevue,53033023701,WA,POINT (-122.1872 47.61001)
MODEL Y,7SAYGDEE5P,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
MODEL 3,5YJ3E1EA0R,Clark,Vancouver,53011041206,WA,POINT (-122.59219 45.62158)
LEAF,1N4AZ1CP1K,King,Sammamish,53033032318,WA,POINT (-122.02054 47.60326)
X5,5UX43EU09T,Clark,Vancouver,53011041208,WA,POINT (-122.59219 45.62158)
EQE-CLASS SEDAN,W1KEG2BB6R,King,Kirkland,53033022401,WA,POINT (-122.2066 47.67887)
MODEL X,5YJXCDE29J,Snohomish,Lynnwood,53061042004,WA,POINT (-122.27981 47.85727)
SPORTAGE,KNDPZDDH6S,Clark,Vancouver,53011040907,WA,POINT (-122.70303 45.70954)
MODEL 3,5YJ3E1EB4K,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
LEAF,1N4AZ1CP7J,King,Seattle,53033012000,WA,POINT (-122.36322 47.49736)
MODEL 3,5YJ3E1EB6N,Clark,Battle Ground,53011040408,WA,POINT (-122.5331 45.78092)
VOLT,1G1RD6S56G,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
EX40,YV4ER3HJ8S,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
MODEL Y,7SAYGDEE0T,Island,Oak Harbor,53029970402,WA,POINT (-122.64682 48.29077)
X5,5UX43EU03T,King,Bellevue,53033023702,WA,POINT (-122.1621 47.64441)
LEAF,1N4BZ0CP7G,King,Seattle,53033000500,WA,POINT (-122.37238 47.74068)
RAV4 PRIME (PHEV),JTMEB3FV0M,Kitsap,Port Orchard,53035092704,WA,POINT (-122.68516 47.50645)
EV6,KNDC3DLC6R,King,Seattle,53033002000,WA,POINT (-122.31676 47.68156)
I4,WBY83FB01R,King,Bellevue,53033024701,WA,POINT (-122.12096 47.55584)
PACIFICA,2C4RC1S78S,King,Burien,53033027901,WA,POINT (-122.34731 47.45207)
MODEL Y,7SAYGDEE3N,King,Seattle,53033011902,WA,POINT (-122.25031 47.49481)
BOLT EV,1G1FX6S08J,Clark,Vancouver,53011041336,WA,POINT (-122.48723 45.63701)
MUSTANG MACH-E,3FMTK3SUXS,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
MODEL Y,7SAYGDEE1R,King,Bellevue,53033022901,WA,POINT (-122.11867 47.63131)
LEAF,1N4AZ1CP9J,King,Burien,53033028500,WA,POINT (-122.32472 47.44519)
MODEL Y,7SAYGAEE0P,King,Kirkland,53033021903,WA,POINT (-122.22901 47.72201)
MODEL Y,7SAYGDEE5T,King,Kirkland,53033022401,WA,POINT (-122.2066 47.67887)
IX,WB523CF06S,King,Kirkland,53033022402,WA,POINT (-122.2066 47.67887)
EQUINOX,3GN7DNRP3T,King,Bellevue,53033023300,WA,POINT (-122.12056 47.61334)
PACIFICA,2C4RC1L72P,King,Kent,53033029507,WA,POINT (-122.19976 47.37483)
MODEL Y,7SAYGDEF6N,King,Bellevue,53033023701,WA,POINT (-122.1872 47.61001)
R1S,7PDSGBBA6S,Kitsap,Silverdale,53035091205,WA,POINT (-122.69275 47.65171)
ID.4,1V2JNPE8XP,Clark,Battle Ground,53011040414,WA,POINT (-122.5331 45.78092)
MODEL 3,5YJ3E1EA8J,King,Seattle,53033007800,WA,POINT (-122.31009 47.60803)
MODEL Y,7SAYGDEDXT,King,Medina,53033024200,WA,POINT (-122.23892 47.61613)
LEAF,1N4BZ1CP0K,King,Seattle,53033003601,WA,POINT (-122.31676 47.68156)
MUSTANG MACH-E,3FMTK3SU8S,King,Burien,53033026700,WA,POINT (-122.36322 47.49736)
RAV4 PRIME (PHEV),JTMEB3FV9S,King,Seattle,53033001400,WA,POINT (-122.37238 47.74068)
VOLT,1G1RB6S58H,Yakima,Yakima,53077001201,WA,POINT (-120.51904 46.59782)
MODEL 3,5YJ3E1EA6N,King,Seattle,53033004800,WA,POINT (-122.38591 47.67597)
ARIYA HATCHBACK,JN1BF0BAXR,King,Bellevue,53033023604,WA,POINT (-122.12056 47.61334)
MODEL 3,5YJ3E1EA6M,Clark,Vancouver,53011041335,WA,POINT (-122.48723 45.63701)
LEAF,1N4CZ1CV8P,King,Kirkland,53033022005,WA,POINT (-122.22901 47.72201)
MODEL Y,7SAYGDEE0T,King,Sammamish,53033032216,WA,POINT (-122.02054 47.60326)
MODEL 3,5YJ3E1EB6P,King,Redmond,53033032325,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEEXS,King,Bellevue,53033023300,WA,POINT (-122.11867 47.63131)
RAV4,2T3YL4DV5E,King,Seattle,53033010001,WA,POINT (-122.31449 47.53917)
BOLT EUV,1G1FZ6S05P,King,Maple Valley,53033032008,WA,POINT (-122.04526 47.39394)
MODEL Y,7SAYGAEE6P,King,Seattle,53033000500,WA,POINT (-122.37238 47.74068)
Q5 E,WA1E2AFY5R,King,Bellevue,53033024904,WA,POINT (-122.12096 47.55584)
VOLT,1G1RE6E48E,Clark,Vancouver,53011041333,WA,POINT (-122.55149 45.69345)
MODEL 3,5YJ3E1EB0M,King,Renton,53033029308,WA,POINT (-122.19488 47.44034)
POLESTAR 3,YSREE3YB8S,King,Seattle,53033001300,WA,POINT (-122.33364 47.73709)
MACAN,WP1AA2XA3R,Kitsap,Bremerton,53035080600,WA,POINT (-122.65223 47.57192)
MODEL Y,5YJYGDEE5M,King,Bellevue,53033023300,WA,POINT (-122.12056 47.61334)
C-HR,JTMAAAAD1T,Stevens,Colville,53065950300,WA,POINT (-117.90454 48.54657)
MODEL 3,5YJ3E1EB7M,Kitsap,Port Orchard,53035092802,WA,POINT (-122.68516 47.50645)
RAV4 PRIME (PHEV),JTMFB3FVXM,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE9P,King,Kirkland,53033022402,WA,POINT (-122.2066 47.67887)
C-MAX,1FADP5CU7E,Kitsap,Bremerton,53035080500,WA,POINT (-122.62749 47.565)
ID.4,1V2GNPE81P,King,Federal Way,53033030310,WA,POINT (-122.36217 47.31011)
MODEL 3,5YJ3E1EB6N,Clark,Vancouver,53011040812,WA,POINT (-122.62731 45.71668)
MODEL S,5YJSA1E56P,King,Seattle,53033006900,WA,POINT (-122.36381 47.63046)
MODEL 3,5YJ3E1EA9P,Thurston,Yelm,53067012421,WA,POINT (-122.60735 46.94239)
ARIYA MPV,JN8DF0BF5S,King,Seattle,53033000700,WA,POINT (-122.30253 47.72656)
X5,5UX43EU0XT,King,Bellevue,53033023702,WA,POINT (-122.1621 47.64441)
330E,3MW39FS02P,Yakima,Yakima,53077001000,WA,POINT (-120.51904 46.59782)
SORENTO,KNDRJDLH8N,King,Shoreline,53033020500,WA,POINT (-122.30304 47.75494)
MODEL S,5YJSA1E48K,King,Seattle,53033006100,WA,POINT (-122.32427 47.63433)
MODEL 3,5YJ3E1EC9M,Kitsap,Port Orchard,53035092802,WA,POINT (-122.68516 47.50645)
IONIQ 5,KM8KNDAF8P,Kitsap,Olalla,53035092802,WA,POINT (-122.54729 47.42602)
FOCUS,1FADP3R4XE,King,Auburn,53033030501,WA,POINT (-122.2229 47.307)
MODEL Y,7SAYGAEE7N,Clark,Vancouver,53011040905,WA,POINT (-122.70303 45.70954)
MODEL Y,7SAYGDED7T,Kitsap,Silverdale,53035090400,WA,POINT (-122.69275 47.65171)
MODEL 3,5YJ3E1EB1T,King,Bellevue,53033024701,WA,POINT (-122.12096 47.55584)
MODEL 3,5YJ3E1EB8N,King,Burien,53033028500,WA,POINT (-122.32472 47.44519)
MODEL Y,5YJYGDEE9M,Clark,Washougal,53011040510,WA,POINT (-122.35341 45.57923)
XC40,YV4ED3UKXP,Jefferson,Port Townsend,53031950501,WA,POINT (-122.77263 48.1212)
MODEL Y,7SAYGDEE0R,Snohomish,Mill Creek,53061052004,WA,POINT (-122.20105 47.84423)
MUSTANG MACH-E,3FMTK3SU7P,King,Bothell,53033022102,WA,POINT (-122.20563 47.76144)
XC90,YV4H60CA1P,Thurston,Olympia,53067012331,WA,POINT (-122.80933 46.99531)
TRANSIT,1FTBW1YK1P,King,Woodinville,53033021906,WA,POINT (-122.15545 47.75448)
CYBERTRUCK,7G2CEHED4S,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
TX,5TDACAC68S,King,Auburn,53033029602,WA,POINT (-122.18263 47.31825)
MODEL Y,7SAYGDEE2N,King,Shoreline,53033020100,WA,POINT (-122.37238 47.74068)
XM,5YM33CS01T,Snohomish,Edmonds,53061050101,WA,POINT (-122.31768 47.87166)
NIRO,KNDCC3LG3M,Clark,Vancouver,53011040709,WA,POINT (-122.57722 45.64251)
R1S,7PDSGBBA3S,King,Seattle,53033005902,WA,POINT (-122.36381 47.63046)
MODEL 3,5YJ3E1EA4N,King,Covington,53033032005,WA,POINT (-122.10798 47.37124)
XC60,YV4H60DM6R,King,Seattle,53033004600,WA,POINT (-122.35436 47.67596)
MODEL Y,7SAYGDEE4P,King,Renton,53033025303,WA,POINT (-122.20489 47.47532)
PRIUS PRIME (PHEV),JTDKARFP8J,Clark,Battle Ground,53011040408,WA,POINT (-122.5331 45.78092)
MODEL X,7SAXCAE50P,King,Sammamish,53033032216,WA,POINT (-122.03539 47.61344)
LEAF,1N4CZ1CV0R,King,Renton,53033025805,WA,POINT (-122.19488 47.44034)
RAV4 PRIME (PHEV),JTMAB3FVXS,Clark,Vancouver,53011041206,WA,POINT (-122.59219 45.62158)
BOLT,1G1FZ6EV5V,King,Seattle,53033000900,WA,POINT (-122.30253 47.72656)
X5,5UX43EU02R,King,Seattle,53033000900,WA,POINT (-122.30253 47.72656)
AIR,50EA1GBAXN,Clark,Vancouver,53011040810,WA,POINT (-122.64443 45.67871)
MODEL 3,5YJ3E1EA1T,King,Seattle,53033011902,WA,POINT (-122.25031 47.49481)
RAV4 PRIME (PHEV),JTMAB3FV4S,King,Seattle,53033001400,WA,POINT (-122.33364 47.73709)
ID.4,WVGTMPE26M,Clark,Vancouver,53011041313,WA,POINT (-122.57722 45.64251)
TUCSON,KM8JFDD28S,King,Seattle,53033002000,WA,POINT (-122.31676 47.68156)
E-TRON,WA1VABGE0N,King,Bothell,53033021804,WA,POINT (-122.20563 47.76144)
Q6,WA134BGF7S,King,Issaquah,53033032220,WA,POINT (-122.01656 47.57118)
CLA-CLASS,W1KFJ4EB2T,King,Kirkland,53033021904,WA,POINT (-122.22901 47.72201)
LEAF,1N4BZ1CV5N,King,Seattle,53033000700,WA,POINT (-122.30253 47.72656)
MODEL 3,5YJ3E1EB2N,King,Seattle,53033001202,WA,POINT (-122.30253 47.72656)
RZ,JTJBCACBXT,Island,Oak Harbor,53029970500,WA,POINT (-122.64682 48.29077)
I5,WBY63HG09T,King,Federal Way,53033030102,WA,POINT (-122.3303 47.30151)
MODEL Y,7SAYGDEE5P,King,Kent,53033029507,WA,POINT (-122.19976 47.37483)
XC40,YV4ER3XM8R,King,Seattle,53033002200,WA,POINT (-122.30253 47.72656)
MODEL 3,5YJ3E1EBXJ,King,Bellevue,53033023901,WA,POINT (-122.1872 47.61001)
MODEL Y,7SAYGDEF6N,King,Bellevue,53033023000,WA,POINT (-122.11867 47.63131)
MODEL 3,5YJ3E1EA9N,Snohomish,Lynnwood,53061051931,WA,POINT (-122.29245 47.82557)
R1S,7PDSGABA6P,King,Redmond,53033032321,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEEXT,King,Redmond,53033032325,WA,POINT (-122.13158 47.67858)
MODEL Y,7SAYGDEE3R,King,Shoreline,53033021000,WA,POINT (-122.33364 47.73709)
LYRIQ,1GYKPVRL0R,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
BOLT EV,1G1FW6S09N,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
F-150,1FT6W7L70R,King,Seattle,53033000602,WA,POINT (-122.33364 47.73709)
IONIQ 5,KM8KRDAF4P,Clark,Vancouver,53011040803,WA,POINT (-122.62731 45.71668)
PRIUS PRIME (PHEV),JTDKARFP8K,King,Seattle,53033007001,WA,POINT (-122.36381 47.63046)
EV9,KNDAEFS54R,King,Seattle,53033008401,WA,POINT (-122.34223 47.61085)
LEAF,1N4AZ0CP3D,King,Redmond,53033032323,WA,POINT (-122.13158 47.67858)
MODEL X,5YJXCBE22H,King,Bellevue,53033023601,WA,POINT (-122.1621 47.64441)
MODEL Y,5YJYGDEF9M,Clark,Vancouver,53011041008,WA,POINT (-122.64443 45.67871)
MODEL Y,5YJYGDEE4M,King,Sammamish,53033032318,WA,POINT (-122.02054 47.60326)
IONIQ 5,7YAKRDDC8S,Cowlitz,Woodland,53015001503,WA,POINT (-122.74017 45.9094)
X5,5UXTA6C07P,King,Kirkland,53033022300,WA,POINT (-122.22901 47.72201)
BOLT EV,1G1FW6S0XP,King,Seattle,53033007902,WA,POINT (-122.31009 47.60803)
HARDTOP,WMW13DJ09P,King,Burien,53033027400,WA,POINT (-122.29411 47.48924)
MODEL 3,5YJ3E1EB5P,Clark,Vancouver,53011040713,WA,POINT (-122.55149 45.69345)
MUSTANG MACH-E,3FMTK1SU7R,King,Seattle,53033000602,WA,POINT (-122.33364 47.73709)
MODEL 3,5YJ3E1EB4K,King,Kirkland,53033022003,WA,POINT (-122.22901 47.72201)
SOLTERRA,JTMBDAFC6T,King,Kent,53033029603,WA,POINT (-122.19976 47.37483)
MODEL 3,5YJ3E1EA0J,King,Auburn,53033029602,WA,POINT (-122.18263 47.31825)
I4,WBY83FB07R,Clark,Vancouver,53011042800,WA,POINT (-122.62934 45.63201)
MUSTANG MACH-E,3FMTK4SX0S,King,Shoreline,53033020401,WA,POINT (-122.30304 47.75494)
POLESTAR 2,LPSED3KA3N,King,Seattle,53033001400,WA,POINT (-122.33364 47.73709)
Q5 E,WA1E2AFY9S,King,Seattle,53033008900,WA,POINT (-122.30866 47.57874)
LEAF,1N4AZ0CP1G,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EA4P,King,Sammamish,53033032225,WA,POINT (-122.02054 47.60326)
MODEL Y,7SAYGDEE8P,King,Kirkland,53033022203,WA,POINT (-122.22901 47.72201)
MODEL Y,7SAYGDEE7T,King,Federal Way,53033030102,WA,POINT (-122.3303 47.30151)
MODEL 3,5YJ3E1EA5T,King,Sammamish,53033032316,WA,POINT (-122.02054 47.60326)
MODEL Y,7SAYGDED2T,King,Sammamish,53033032317,WA,POINT (-122.02054 47.60326)
TAYCAN,WP0BA2Y1XN,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EA2P,King,Des Moines,53033028901,WA,POINT (-122.30615 47.38542)
SPORTAGE,KNDPZDDH6T,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EAXJ,King,Kirkland,53033022701,WA,POINT (-122.2066 47.67887)
MUSTANG MACH-E,3FMTK3SU9S,King,Bellevue,53033022805,WA,POINT (-122.12056 47.61334)
MODEL Y,7SAYGDEE7T,King,Redmond,53033022606,WA,POINT (-122.13158 47.67858)
EQUINOX,3GN7DLRR6R,Clark,Vancouver,53011040709,WA,POINT (-122.57722 45.64251)
MODEL Y,5YJYGDEE1M,King,Sammamish,53033032215,WA,POINT (-122.03539 47.61344)
EQE-CLASS SUV,4JGGM1CB5P,King,Seattle,53033011901,WA,POINT (-122.25031 47.49481)
MODEL Y,7SAYGDEE9R,King,Kent,53033029508,WA,POINT (-122.17743 47.41185)
SPORTAGE,KNDPZDDH8S,King,Kent,53033031707,WA,POINT (-122.10798 47.37124)
ID.4,1V2JSPE83S,King,Bellevue,53033024002,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EA9P,King,Issaquah,53033032221,WA,POINT (-122.01656 47.57118)
IX,WB523CF01R,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
MODEL 3,5YJ3E1EA1M,King,Kent,53033029603,WA,POINT (-122.19976 47.37483)
LEAF,1N4BZ1CV8M,King,Seattle,53033001300,WA,POINT (-122.33364 47.73709)
MODEL Y,7SAYGDEE8P,King,Normandy Park,53033028600,WA,POINT (-122.34731 47.45207)
MODEL Y,7SAYGAEE8S,Clark,Vancouver,53011041206,WA,POINT (-122.59219 45.62158)
PRIUS PRIME (PHEV),JTDKARFP2H,King,Woodinville,53033032319,WA,POINT (-122.15545 47.75448)
MODEL X,5YJXCAE42K,Thurston,Tenino,53067012620,WA,POINT (-122.85135 46.85752)
MODEL Y,7SAYGAEE9P,King,Seattle,53033000404,WA,POINT (-122.33364 47.73709)
MODEL Y,7SAYGDEE8N,King,Bellevue,53033023801,WA,POINT (-122.1872 47.61001)
MODEL Y,7SAYGAEE0R,Snohomish,Lynnwood,53061041816,WA,POINT (-122.27981 47.85727)
NIRO,KNDCS3LF5S,King,Seattle,53033000500,WA,POINT (-122.37238 47.74068)
BOLT EUV,1G1FY6S0XP,King,Kent,53033031707,WA,POINT (-122.10798 47.37124)
MODEL Y,7SAYGDEE4S,King,Sammamish,53033032215,WA,POINT (-122.03539 47.61344)
MODEL Y,7SAYGAEE4P,King,Renton,53033025806,WA,POINT (-122.19488 47.44034)
I4,WBY83FB09R,Snohomish,Bothell,53061051914,WA,POINT (-122.18384 47.8031)
MODEL Y,7SAYGDEE0R,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
MODEL 3,5YJ3E1EAXL,King,Bellevue,53033023201,WA,POINT (-122.12056 47.61334)
MODEL Y,7SAYGDEE0T,King,Redmond,53033022803,WA,POINT (-122.13158 47.67858)
MODEL 3,5YJ3E1EA0P,King,Covington,53033031705,WA,POINT (-122.10798 47.37124)
MODEL Y,7SAYGDEE1P,King,Kirkland,53033022201,WA,POINT (-122.22901 47.72201)
MODEL Y,7SAYGDEE9T,King,Bellevue,53033025001,WA,POINT (-122.12096 47.55584)
MODEL Y,5YJYGDEE9L,Clark,Vancouver,53011040811,WA,POINT (-122.62731 45.71668)
Q5 E,WA1F2AFY2S,King,Seattle,53033006600,WA,POINT (-122.32427 47.63433)
RAV4 PRIME (PHEV),JTMFB3FVXM,King,Bellevue,53033024001,WA,POINT (-122.1872 47.61001)
E-TRON SPORTBACK,WA12ABGEXL,Clark,Vancouver,53011040806,WA,POINT (-122.57722 45.64251)
MODEL Y,7SAYGDEF3P,King,Sammamish,53033032215,WA,POINT (-122.03539 47.61344)
IONIQ 6,KMHM24AA1P,King,Seattle,53033001201,WA,POINT (-122.30253 47.72656)
NIRO,KNDCC3LG6N,Clark,Vancouver,53011041206,WA,POINT (-122.59219 45.62158)
RAV4 PRIME (PHEV),JTM7ERAV0T,Clark,Vancouver,53011040908,WA,POINT (-122.70303 45.70954)
KONA,KM8K33AG3M,Kitsap,Kingston,53035090102,WA,POINT (-122.4977 47.79802)
SILVERADO,1GC10UED1R,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
MODEL S,5YJSA1E47J,Clark,Vancouver,53011040909,WA,POINT (-122.70303 45.70954)
MODEL 3,5YJ3E1EAXR,King,Woodinville,53033032319,WA,POINT (-122.15545 47.75448)
MODEL Y,7SAYGDEE3P,King,Bellevue,53033023801,WA,POINT (-122.1872 47.61001)
AIR,50EA1PGA2R,King,Bellevue,53033023805,WA,POINT (-122.1872 47.61001)
Q5 E,WA1E2AFY8S,King,Bellevue,53033023603,WA,POINT (-122.12056 47.61334)
