Model,VIN (1-10),County,City,2020 GEOID,State,Vehicle Location
I3,WBY1Z2C59F,King,Seattle,53033002700,WA,POINT (-122.35436 47.67596)
C-MAX,1FADP5CU3D,Thurston,Yelm,53067012531,WA,POINT (-122.60735 46.94239)
LEAF,1N4AZ1CP6K,Chelan,Cashmere,53007960501,WA,POINT (-120.47005 47.5224)
LEAF,1N4AZ0CPXF,King,Covington,53033031709,WA,POINT (-122.10798 47.37124)
GV60,KMUKEDTBXP,Snohomish,Edmonds,53061050502,WA,POINT (-122.37695 47.81113)
MODEL S,5YJSA1E23H,Snohomish,Lynnwood,53061051702,WA,POINT (-122.27734 47.83785)
MODEL 3,5YJ3E1EB7K,Thurston,Olympia,53067012100,WA,POINT (-122.87741 47.05997)
E-TRON,WA1VABGE0K,Snohomish,Bothell,53061051926,WA,POINT (-122.18384 47.8031)
MODEL Y,5YJYGDEE1L,King,Seattle,53033008003,WA,POINT (-122.34468 47.61578)
XC60,YV4H60DA9P,Thurston,Lacey,53067011300,WA,POINT (-122.82324 47.04437)
RZ,JTJBCACB7T,Snohomish,Lynnwood,53061051802,WA,POINT (-122.27734 47.83785)
WRANGLER,1C4RJXP60R,Snohomish,Lynnwood,53061051931,WA,POINT (-122.29245 47.82557)
R1S,7PDSGBBA5S,Snohomish,Bothell,53061052009,WA,POINT (-122.20105 47.84423)
TUCSON,KM8JBDD22R,Snohomish,Bothell,53061051927,WA,POINT (-122.20105 47.84423)
FUSION,3FA6P0SU8K,Thurston,Olympia,53067010300,WA,POINT (-122.89165 47.03954)
MODEL Y,5YJYGDEF7L,Kitsap,Bainbridge Island,53035090800,WA,POINT (-122.521 47.62759)
AVIATOR,5LMYJ8XY3P,Yakima,Yakima,53077002801,WA,POINT (-120.60272 46.59656)
CX-90,JM3KKBHA1R,Kitsap,Bremerton,53035080300,WA,POINT (-122.61136 47.5752)
NIRO,KNDCS3LF9P,Kitsap,Bremerton,53035091702,WA,POINT (-122.61158 47.62691)
MODEL Y,7SAYGDEF0P,Kitsap,Poulsbo,53035090202,WA,POINT (-122.64681 47.73689)
NIRO,KNDCS3LF4R,Thurston,Olympia,53067010200,WA,POINT (-122.87741 47.05997)
KONA,KM8K53AG2K,Kitsap,Silverdale,53035091302,WA,POINT (-122.69275 47.65171)
R1T,7FCTGAAP7T,Kitsap,Poulsbo,53035090400,WA,POINT (-122.64681 47.73689)
WRANGLER,1C4JJXP61N,Thurston,Olympia,53067012331,WA,POINT (-122.80933 46.99531)
LEAF,1N4AZ0CP0G,Kitsap,Suquamish,53035940100,WA,POINT (-122.55242 47.73162)
MODEL 3,5YJ3E1EB4K,Kitsap,Poulsbo,53035090502,WA,POINT (-122.64681 47.73689)
TUCSON,KM8JBDD25R,Snohomish,Lynnwood,53061051802,WA,POINT (-122.27734 47.83785)
CX-90,JM3KKEHA9T,Snohomish,Bothell,53061051914,WA,POINT (-122.18384 47.8031)
MODEL X,5YJXCAE23H,King,Seattle,53033008800,WA,POINT (-122.31009 47.60803)
MODEL S,5YJSA1H20F,Snohomish,Lake Stevens,53061052506,WA,POINT (-122.06402 48.01497)
LEAF,1N4BZ0CPXH,Snohomish,Bothell,53061051926,WA,POINT (-122.18384 47.8031)
GRAND CHEROKEE,1C4RJYD61N,Kitsap,Poulsbo,53035090202,WA,POINT (-122.64681 47.73689)
HORNET,ZACPDFDW0R,Kitsap,Bremerton,53035091702,WA,POINT (-122.61158 47.62691)
VOLT,1G1RA6S53J,Kitsap,Kingston,53035090101,WA,POINT (-122.4977 47.79802)
MODEL S,5YJSA1E15H,Kitsap,Bainbridge Island,53035091002,WA,POINT (-122.521 47.62759)
SOLTERRA,JTMBEAGC4T,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
C-MAX,1FADP5CU9D,Thurston,Olympia,53067010600,WA,POINT (-122.92018 47.04575)
BOLT EV,1G1FY6S06K,Kitsap,Port Orchard,53035092300,WA,POINT (-122.63848 47.5414)
MODEL 3,5YJ3E1EB7K,King,Seatac,53033028300,WA,POINT (-122.30615 47.38542)
MODEL 3,5YJ3E1EA0J,Snohomish,Bothell,53061051937,WA,POINT (-122.18384 47.8031)
MODEL S,5YJSA1DP4D,Yakima,Zillah,53077002201,WA,POINT (-120.26226 46.40199)
TUCSON,KM8JFDA26P,Snohomish,Monroe,53061052203,WA,POINT (-121.98087 47.8526)
BOLT EV,1G1FZ6S05K,Kitsap,Suquamish,53035940100,WA,POINT (-122.55242 47.73162)
LEAF,1N4AZ0CP4F,Kitsap,Seabeck,53035092000,WA,POINT (-122.81585 47.64509)
NIRO,KNDCC3LG5L,Thurston,Olympia,53067010400,WA,POINT (-122.89165 47.03954)
Q5 E,WA1E2AFY0R,Yakima,Yakima,53077002803,WA,POINT (-120.71847 46.55029)
MODEL Y,7SAYGDEE5S,Snohomish,Bothell,53061051913,WA,POINT (-122.18384 47.8031)
VOLT,1G1RC6S54J,Yakima,Moxee,53077001702,WA,POINT (-120.39197 46.55621)
NX,JTJKKCFZ6R,Snohomish,Bothell,53061051926,WA,POINT (-122.18384 47.8031)
VOLT,1G1RB6E46D,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
MODEL 3,5YJ3E1EB7J,Thurston,Olympia,53067011722,WA,POINT (-122.89165 47.03954)
NIRO,KNDCE3LG9L,Thurston,Olympia,53067010100,WA,POINT (-122.89165 47.03954)
LEAF,1N4BZ0CP3H,Kitsap,Bremerton,53035080200,WA,POINT (-122.61136 47.5752)
I5,WBY43FK02R,Thurston,Olympia,53067011902,WA,POINT (-122.92018 47.04575)
BOLT EV,1G1FW6S09J,Yakima,Yakima,53077000800,WA,POINT (-120.51904 46.59782)
500,3C3CFFGE6F,King,Seattle,53033009500,WA,POINT (-122.30866 47.57874)
